Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.086182,0.216309,0.852783,2.916031,-1.145038,0.580153,3,1445474438.711488
0.090820,0.218262,0.851807,-0.519084,-0.274809,2.549618,3,1445474438.741434
0.088379,0.214600,0.860352,-4.137404,1.099237,3.511450,3,1445474438.771405
0.091309,0.212402,0.865234,-7.984733,-0.274809,2.458015,3,1445474438.801440
0.090576,0.207031,0.858887,-2.931298,6.961832,6.870229,3,1445474438.831388
0.092041,0.205566,0.865723,-1.099237,5.312977,30.427481,3,1445474438.891459
0.080322,0.203857,0.865723,-5.511450,12.839695,3.236641,3,1445474438.922624
0.072754,0.202637,0.853271,-9.786260,1.587786,-3.297710,3,1445474438.951583
0.083008,0.205078,0.860596,-16.152672,7.648855,-3.282443,3,1445474438.981498
0.076416,0.185547,0.874756,-15.923664,6.488550,-5.083970,3,1445474439.011433
0.003906,0.170654,0.846436,-22.839695,-1.160305,4.198473,3,1445474439.041429
0.097656,0.010254,0.892822,-19.832062,6.183206,0.580153,3,1445474439.071517
0.079834,0.162598,0.921875,-20.000000,7.954198,0.885496,3,1445474439.101446
0.084473,0.151611,0.980469,30.580153,39.755726,1.343511,3,1445474439.131363
0.039307,0.112061,0.793945,-2.396947,30.458015,-6.152672,3,1445474439.161512
0.027344,0.070068,0.787842,9.557252,1.877863,5.679389,3,1445474439.191471
0.050781,0.117920,0.960693,-14.030535,-23.938931,7.954198,3,1445474439.221664
0.162109,0.167236,1.757812,28.274809,1.648855,1.129771,3,1445474439.251527
0.362549,-0.440186,3.190186,-17.160305,211.984726,26.366413,3,1445474439.281507
0.986572,0.544434,2.442627,21.175573,250.129776,26.656488,3,1445474439.311468
1.092285,-0.304443,1.925293,16.167938,250.129776,28.809160,3,1445474439.341527
0.159180,-0.130371,-0.578613,28.717558,250.129776,169.419846,3,1445474439.401512
0.996338,0.484131,0.250000,-45.847328,15.633588,171.832062,3,1445474439.431828
1.284912,-0.232666,0.851807,99.328247,15.633588,17.572519,3,1445474439.461443
1.012695,-0.378418,1.210938,-90.778625,15.633588,43.297710,3,1445474439.491508
0.552246,0.055420,1.077148,-68.198471,-196.106873,75.465652,3,1445474439.521508
-0.049072,0.162109,0.705322,-75.007637,-106.839691,74.931297,3,1445474439.551567
0.467773,0.929443,0.811035,-157.862595,-161.358780,-8.442748,3,1445474439.581437
-2.157959,-0.200195,3.999878,-82.656487,-162.045807,-175.282440,3,1445474439.611479
-0.073242,-0.003418,1.229492,25.374046,15.633588,165.969467,3,1445474439.641827
-1.893799,0.728271,-3.500732,-112.687019,-242.122131,147.893127,3,1445474439.671458
-2.151123,1.163574,1.525635,-81.282440,26.610687,4.213740,3,1445474439.701433
-1.915039,1.229980,0.147461,-122.534348,52.198475,69.129768,3,1445474439.731441
-3.766846,1.306641,1.827393,239.633591,171.496185,-12.961832,3,1445474439.761475
0.315674,0.004883,1.045410,110.900764,15.572519,10.717557,3,1445474439.791482
0.184082,0.206299,0.899414,100.259544,41.221375,-34.274811,3,1445474439.821493
0.056885,0.265381,0.815186,9.175572,31.038168,-10.946565,3,1445474439.851851
0.099121,0.213867,0.847900,-14.381680,-6.839694,-1.129771,3,1445474439.881546
0.089844,0.203613,0.871338,-0.015267,-0.961832,2.946565,3,1445474439.911505
0.084473,0.222412,0.864990,9.954199,0.152672,-11.175572,3,1445474439.941493
0.083252,0.233887,0.842041,5.984733,3.145038,5.129771,3,1445474439.971564
0.084961,0.232666,0.853760,0.137405,6.290076,-7.969466,3,1445474440.001572
0.090332,0.230469,0.851074,-3.251908,-0.366412,0.198473,3,1445474440.031398
0.086914,0.227539,0.848389,-4.198473,-1.251908,3.496183,3,1445474440.061550
0.084229,0.015137,0.853271,31.038168,-1.343511,7.938931,3,1445474440.091481
0.086426,0.217773,0.856201,-3.206107,0.167939,-3.022901,3,1445474440.121738
0.083252,0.220703,0.861816,-3.190840,4.030534,3.572519,3,1445474440.151597
0.084961,0.226318,0.864258,-1.648855,3.847328,-1.603053,3,1445474440.181502
0.079834,0.223877,0.857178,-7.389313,8.045801,-2.503817,3,1445474440.211975
0.081055,0.216064,0.888428,-14.687023,15.282443,-1.206107,3,1445474440.241897
0.005371,0.217529,0.834717,-12.564885,16.946566,6.137404,3,1445474440.271523
0.051270,0.190918,0.838867,-19.282442,2.274809,3.603053,3,1445474440.301572
0.041016,0.012939,0.800049,-27.755726,-4.183206,8.015267,3,1445474440.331489
0.058838,0.180664,0.055420,-25.022902,-7.328244,-5.221374,3,1445474440.391601
0.005371,0.162598,0.908936,-16.442749,24.290077,6.839694,3,1445474440.421635
0.056396,0.136475,0.837402,-7.251908,4.916030,8.717557,3,1445474440.451539
0.004150,0.134033,0.963135,-17.801527,2.183206,-0.946565,3,1445474440.481556
0.052002,0.139160,0.943848,-40.854961,36.427483,5.129771,3,1445474440.511554
0.050049,0.019531,1.088867,-82.870232,29.770992,17.160305,3,1445474440.541540
0.091553,-0.368896,1.819580,-132.473282,105.709923,46.778625,3,1445474440.571681
0.323975,-0.391602,1.983643,-133.419846,242.312973,119.511452,3,1445474440.601637
0.417480,-0.286377,1.961914,-161.251907,243.312973,148.671753,3,1445474440.631360
0.711426,-0.817871,2.309814,15.633588,250.129776,232.488556,3,1445474440.661594
1.617676,-0.472900,1.911133,15.633588,250.129776,250.129776,3,1445474440.691560
1.871338,1.267334,1.461182,-4.503817,250.129776,250.129776,3,1445474440.721559
1.287109,1.162354,-0.057373,-99.404579,15.633588,250.129776,3,1445474440.751633
0.897217,0.549805,-0.338867,198.076340,15.633588,12.091603,3,1445474440.781505
0.812012,0.556641,1.144531,67.847328,15.633588,118.595421,3,1445474440.811601
0.731445,0.209717,1.270020,7.572519,20.809160,154.351151,3,1445474440.841586
0.546143,0.453369,0.506104,-79.297707,-167.221375,161.511444,3,1445474440.901631
0.695801,0.634766,0.685303,-82.534348,15.633588,169.984726,3,1445474440.931571
0.949463,1.306641,1.949219,127.175575,15.633588,250.129776,3,1445474440.961620
2.451416,2.024658,2.703857,-62.015266,250.129776,19.221375,3,1445474440.991556
-2.228027,0.473633,1.191162,-62.137405,-30.625954,162.076340,3,1445474441.021640
-3.409912,3.016113,-0.177246,31.526718,-1.541985,87.175575,3,1445474441.051804
0.546875,0.046387,1.074707,61.877861,-6.335878,63.511452,3,1445474441.081636
0.239014,0.085693,1.001953,101.770996,33.190838,-29.374046,3,1445474441.111647
-0.000977,0.288574,0.803711,25.175573,16.748091,-8.442748,3,1445474441.141584
0.084473,0.231689,0.849121,-9.007633,7.160306,-11.465649,3,1445474441.171725
0.093018,0.224121,0.864990,-5.267176,-1.251908,-3.786260,3,1445474441.201650
0.090820,0.224121,0.871582,11.038168,3.648855,-6.229008,3,1445474441.231548
0.085449,0.233643,0.851074,4.534351,5.511450,-3.389313,3,1445474441.261817
0.083740,0.233643,0.838867,-3.175573,1.297710,3.496183,3,1445474441.291592
0.087158,0.229492,0.864502,-10.885496,1.297710,0.274809,3,1445474441.321936
0.087158,0.220703,0.856201,-10.641221,5.984733,7.068702,3,1445474441.351591
0.089355,0.212158,0.863770,-8.381680,-1.435115,-4.091603,3,1445474441.381618
0.080078,0.207520,0.858398,-7.572519,0.274809,-0.244275,3,1445474441.411644
0.077881,0.208984,0.856934,-4.381680,0.290076,-0.549618,3,1445474441.441566
0.077881,0.203857,0.869873,-10.229008,3.541985,-5.282443,3,1445474441.472187
0.077881,0.200439,0.896484,-12.748092,4.625954,4.122138,3,1445474441.501661
0.075439,0.190674,0.870117,-13.190840,10.091603,3.862595,3,1445474441.531575
0.088867,0.012939,0.902344,-16.244274,1.297710,-8.763359,3,1445474441.561667
0.070557,0.012207,0.885254,-21.557251,-8.687023,-7.083970,3,1445474441.591682
0.077637,0.192383,0.913574,-19.221375,8.916031,8.167939,3,1445474441.621681
0.089355,0.169678,0.939453,-18.396946,0.274809,-0.061069,3,1445474441.651699
0.052734,0.143311,0.859619,-8.488549,17.938931,-7.954198,3,1445474441.681754
0.042236,0.107910,0.814453,-8.381680,3.358779,9.206107,3,1445474441.711625
0.053955,0.007324,0.954590,-39.297710,-5.954198,9.129771,3,1445474441.741591
0.150391,0.054443,1.722412,-113.954201,20.091602,34.442749,3,1445474441.771653
0.370117,-1.136963,3.182129,-84.671753,250.129776,5.038168,3,1445474441.801650
0.739746,0.258301,1.740967,-80.610687,250.129776,98.259544,3,1445474441.831479
0.896729,-0.578125,1.976562,-196.717560,250.129776,228.763351,3,1445474441.891840
2.302246,-0.070312,0.589600,-215.541992,250.129776,250.129776,3,1445474441.921718
1.061279,2.472900,-1.725830,143.343506,250.129776,215.587784,3,1445474441.951649
0.318604,0.369629,-0.761719,-55.160305,15.633588,126.030533,3,1445474441.981679
0.588379,0.336426,1.247803,7.679389,15.633588,90.839691,3,1445474442.011652
0.372070,0.098633,1.211914,2.274809,15.633588,106.595421,3,1445474442.041606
0.405518,0.254395,1.038086,-11.786260,-158.320618,104.702293,3,1445474442.071729
0.261719,0.022217,0.736816,-51.450382,-122.900764,88.106873,3,1445474442.101918
0.288086,0.343506,0.478760,27.450382,-170.641220,71.786263,3,1445474442.131563
0.423584,0.330811,0.575195,-38.000000,15.633588,116.137405,3,1445474442.161690
0.696777,0.399170,0.068115,-51.282444,15.633588,130.854965,3,1445474442.191641
-1.989990,1.331299,3.999878,-140.809158,15.633588,34.473282,3,1445474442.221830
-2.401123,1.902100,3.901367,95.206108,-78.015266,-48.396946,3,1445474442.251635
-2.446289,0.205566,1.333252,1.221374,-3.114504,-48.931297,3,1445474442.281673
-3.945312,1.930176,0.706055,71.984734,16.488550,-41.709923,3,1445474442.312337
0.824707,-0.031494,1.515869,6.091603,30.748091,-3.938931,3,1445474442.341708
-0.083740,0.383789,0.747803,38.015266,15.969465,-13.175572,3,1445474442.401715
0.079346,0.295410,0.822510,-7.190840,8.534351,1.068702,3,1445474442.431588
0.098145,0.272949,0.839844,-4.580153,19.404581,-1.007634,3,1445474442.461693
0.059570,0.271240,0.834473,13.282443,19.389313,-2.809160,3,1445474442.491708
0.070068,0.287109,0.054199,15.618320,12.549619,2.122137,3,1445474442.521967
0.068359,0.304199,0.849609,5.068702,13.236641,-0.763359,3,1445474442.581048
0.061035,0.305420,0.846680,-0.427481,9.114504,3.740458,3,1445474442.585596
0.059326,0.301514,0.848633,-8.977099,13.526717,-0.732824,3,1445474442.611670
